id_country,id_language,native_common,native_official
ISR,ara,إسرائيل,دولة إسرائيل
ISR,heb,ישראל,מדינת ישראל
ALA,swe,Åland,Landskapet Åland
MNP,cal,Northern Mariana Islands,Commonwealth of the Northern Mariana Islands
MNP,cha,Na Islas Mariånas,Sankattan Siha Na Islas Mariånas
MNP,eng,Northern Mariana Islands,Commonwealth of the Northern Mariana Islands
DNK,dan,Danmark,Kongeriget Danmark
BMU,eng,Bermuda,Bermuda
GIB,eng,Gibraltar,Gibraltar
SYR,ara,سوريا,الجمهورية العربية السورية
TLS,por,Timor-Leste,República Democrática de Timor-Leste
TLS,tet,Timór-Leste,Repúblika Demokrátika Timór-Leste
SMR,ita,San Marino,Repubblica di San Marino
GMB,eng,Gambia,Republic of the Gambia
PER,aym,Piruw,Piruw Suyu
PER,que,Piruw,Piruw Ripuwlika
PER,spa,Perú,República del Perú
GNB,por,Guiné-Bissau,República da Guiné-Bissau
GNB,pov,Guiné-Bissau,República da Guiné-Bissau
SLE,eng,Sierra Leone,Republic of Sierra Leone
TUR,tur,Türkiye,Türkiye Cumhuriyeti
BOL,aym,Wuliwya,Wuliwya Suyu
BOL,grn,Volívia,Tetã Volívia
BOL,que,Buliwya,Buliwya Mamallaqta
BOL,spa,Bolivia,Estado Plurinacional de Bolivia
NOR,nno,Noreg,Kongeriket Noreg
NOR,nob,Norge,Kongeriket Norge
NOR,smi,Norgga,Norgga gonagasriika
COG,fra,République du Congo,République du Congo
COG,kon,Repubilika ya Kongo,Repubilika ya Kongo
COG,lin,Republíki ya Kongó,Republíki ya Kongó
SWZ,eng,Eswatini,Kingdom of Eswatini
SWZ,ssw,eSwatini,Umbuso weSwatini
PRY,grn,Paraguái,Tetã Paraguái
PRY,spa,Paraguay,República de Paraguay
UKR,ukr,Україна,Україна
MYS,eng,Malaysia,Malaysia
MYS,msa,مليسيا,مليسيا
TON,eng,Tonga,Kingdom of Tonga
TON,ton,Tonga,Kingdom of Tonga
BEN,fra,Bénin,République du Bénin
SWE,swe,Sverige,Konungariket Sverige
TUV,eng,Tuvalu,Tuvalu
TUV,tvl,Tuvalu,Tuvalu
MNG,mon,Монгол улс,Монгол улс
ZAF,afr,South Africa,Republiek van Suid-Afrika
ZAF,eng,South Africa,Republic of South Africa
ZAF,nbl,Sewula Afrika,IRiphabliki yeSewula Afrika
ZAF,nso,Afrika-Borwa,Rephaboliki ya Afrika-Borwa 
ZAF,sot,Afrika Borwa,Rephaboliki ya Afrika Borwa
ZAF,ssw,Ningizimu Afrika,IRiphabhulikhi yeNingizimu Afrika
ZAF,tsn,Aforika Borwa,Rephaboliki ya Aforika Borwa
ZAF,tso,Afrika Dzonga,Riphabliki ra Afrika Dzonga
ZAF,ven,Afurika Tshipembe,Riphabuḽiki ya Afurika Tshipembe
ZAF,xho,Mzantsi Afrika,IRiphabliki yaseMzantsi Afrika
ZAF,zul,Ningizimu Afrika,IRiphabliki yaseNingizimu Afrika
CUW,eng,Curaçao,Country of Curaçao
CUW,nld,Curaçao,Land Curaçao
CUW,pap,Pais Kòrsou,Pais Kòrsou
AUS,eng,Australia,Commonwealth of Australia
KNA,eng,Saint Kitts and Nevis,Federation of Saint Christopher and Nevis
GHA,eng,Ghana,Republic of Ghana
IRQ,ara,العراق,جمهورية العراق
IRQ,arc,ܩܘܼܛܢܵܐ,ܩܘܼܛܢܵܐ ܐܝܼܪܲܩ
IRQ,ckb,کۆماری,کۆماری عێراق
VNM,vie,Việt Nam,Cộng hòa xã hội chủ nghĩa Việt Nam
GUY,eng,Guyana,Co-operative Republic of Guyana
AZE,aze,Azərbaycan,Azərbaycan Respublikası
CMR,eng,Cameroon,Republic of Cameroon
CMR,fra,Cameroun,République du Cameroun
EGY,ara,مصر,جمهورية مصر العربية
ISL,isl,Ísland,Ísland
VEN,spa,Venezuela,República Bolivariana de Venezuela
BRB,eng,Barbados,Barbados
FLK,eng,Falkland Islands,Falkland Islands
MWI,eng,Malawi,Republic of Malawi
MWI,nya,Malaŵi,"Chalo cha Malawi, Dziko la Malaŵi"
KGZ,kir,Кыргызстан,Кыргыз Республикасы
KGZ,rus,Киргизия,Кыргызская Республика
TWN,zho,台灣,中華民國
BGR,bul,България,Република България
PRK,kor,조선,조선민주주의인민공화국
AND,cat,Andorra,Principat d'Andorra
AGO,por,Angola,República de Angola
BLM,fra,Saint-Barthélemy,Collectivité de Saint-Barthélemy
RUS,rus,Россия,Российская Федерация
BFA,fra,Burkina Faso,République du Burkina
VAT,ita,Vaticano,Stato della Città del Vaticano
VAT,lat,Vaticanæ,Status Civitatis Vaticanæ
IMN,eng,Isle of Man,Isle of Man
IMN,glv,Mannin,Ellan Vannin or Mannin
AFG,prs,افغانستان,جمهوری اسلامی افغانستان
AFG,pus,افغانستان,د افغانستان اسلامي جمهوریت
AFG,tuk,Owganystan,Owganystan Yslam Respublikasy
HRV,hrv,Hrvatska,Republika Hrvatska
BTN,dzo,འབྲུག་ཡུལ་,འབྲུག་རྒྱལ་ཁབ་
BLR,bel,Белару́сь,Рэспубліка Беларусь
BLR,rus,Беларусь,Республика Беларусь
CCK,eng,Cocos (Keeling) Islands,Territory of the Cocos (Keeling) Islands
NZL,eng,New Zealand,New Zealand
NZL,mri,Aotearoa,Aotearoa
NZL,nzs,New Zealand,New Zealand
MDG,fra,Madagascar,République de Madagascar
MDG,mlg,Madagasikara,Repoblikan'i Madagasikara
THA,tha,ประเทศไทย,ราชอาณาจักรไทย
GEO,kat,საქართველო,საქართველო
IND,eng,India,Republic of India
IND,hin,भारत,भारत गणराज्य
IND,tam,இந்தியா,இந்தியக் குடியரசு
CHN,zho,中国,中华人民共和国
SPM,fra,Saint-Pierre-et-Miquelon,Collectivité territoriale de Saint-Pierre-et-Miquelon
PRI,eng,Puerto Rico,Commonwealth of Puerto Rico
PRI,spa,Puerto Rico,Estado Libre Asociado de Puerto Rico
DJI,ara,جيبوتي‎,جمهورية جيبوتي
DJI,fra,Djibouti,République de Djibouti
SAU,ara,العربية السعودية,المملكة العربية السعودية
IRN,fas,ایران,جمهوری اسلامی ایران
ZMB,eng,Zambia,Republic of Zambia
ETH,amh,ኢትዮጵያ,የኢትዮጵያ ፌዴራላዊ ዲሞክራሲያዊ ሪፐብሊክ
MAC,por,Macau,Região Administrativa Especial de Macau da República Popular da China
MAC,zho,澳门,中华人民共和国澳门特别行政区
GTM,spa,Guatemala,República de Guatemala
MTQ,fra,Martinique,Martinique
SUR,nld,Suriname,Republiek Suriname
URY,spa,Uruguay,República Oriental del Uruguay
ITA,ita,Italia,Repubblica italiana
NCL,fra,Nouvelle-Calédonie,Nouvelle-Calédonie
FJI,eng,Fiji,Republic of Fiji
FJI,fij,Viti,Matanitu Tugalala o Viti
FJI,hif,फिजी,रिपब्लिक ऑफ फीजी
ABW,nld,Aruba,Aruba
ABW,pap,Aruba,Aruba
STP,por,São Tomé e Príncipe,República Democrática do São Tomé e Príncipe
CHE,fra,Suisse,Confédération suisse
CHE,gsw,Schweiz,Schweizerische Eidgenossenschaft
CHE,ita,Svizzera,Confederazione Svizzera
CHE,roh,Svizra,Confederaziun svizra
COD,fra,RD Congo,République démocratique du Congo
COD,kon,Repubilika ya Kongo Demokratiki,Repubilika ya Kongo Demokratiki
COD,lin,Republiki ya Kongó Demokratiki,Republiki ya Kongó Demokratiki
COD,lua,Ditunga dia Kongu wa Mungalaata,Ditunga dia Kongu wa Mungalaata
COD,swa,Jamhuri ya Kidemokrasia ya Kongo,Jamhuri ya Kidemokrasia ya Kongo
FIN,fin,Suomi,Suomen tasavalta
FIN,swe,Finland,Republiken Finland
MLT,eng,Malta,Republic of Malta
MLT,mlt,Malta,Repubblika ta ' Malta
SLV,spa,El Salvador,República de El Salvador
JOR,ara,الأردن,المملكة الأردنية الهاشمية
TKL,eng,Tokelau,Tokelau
TKL,smo,Tokelau,Tokelau
TKL,tkl,Tokelau,Tokelau
NRU,eng,Nauru,Republic of Nauru
NRU,nau,Nauru,Republic of Nauru
POL,pol,Polska,Rzeczpospolita Polska
MRT,ara,موريتانيا,الجمهورية الإسلامية الموريتانية
WLF,fra,Wallis et Futuna,Territoire des îles Wallis et Futuna
GUM,cha,Guåhån,Guåhån
GUM,eng,Guam,Guam
GUM,spa,Guam,Guam
MKD,mkd,Македонија,Република Северна Македонија
TGO,fra,Togo,République togolaise
MMR,mya,မြန်မာ,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်
QAT,ara,قطر,دولة قطر
FRA,fra,France,République française
MYT,fra,Mayotte,Département de Mayotte
NFK,eng,Norfolk Island,Territory of Norfolk Island
NFK,pih,Norf'k Ailen,Teratri of Norf'k Ailen
SYC,crs,Sesel,Repiblik Sesel
SYC,eng,Seychelles,Republic of Seychelles
SYC,fra,Seychelles,République des Seychelles
MDA,ron,Moldova,Republica Moldova
SSD,eng,South Sudan,Republic of South Sudan
BRN,msa,Negara Brunei Darussalam,"Nation of Brunei, Abode Damai"
JPN,jpn,日本,日本
GRD,eng,Grenada,Grenada
ESP,spa,España,Reino de España
BES,nld,Caribisch Nederland,"Bonaire, Sint Eustatius en Saba"
BES,pap,"Boneiru, Sint Eustatius y Saba","Boneiru, Sint Eustatius y Saba"
PNG,eng,Papua New Guinea,Independent State of Papua New Guinea
PNG,hmo,Papua Niu Gini,Independen Stet bilong Papua Niugini
PNG,tpi,Papua Niugini,Independen Stet bilong Papua Niugini
UZB,rus,Узбекистан,Республика Узбекистан
UZB,uzb,O‘zbekiston,O'zbekiston Respublikasi
ARG,grn,Argentina,Argentine Republic
ARG,spa,Argentina,República Argentina
KOR,kor,한국,대한민국
BLZ,bjz,Belize,Belize
BLZ,eng,Belize,Belize
BLZ,spa,Belice,Belice
REU,fra,La Réunion,Ile de la Réunion
MEX,spa,México,Estados Unidos Mexicanos
VIR,eng,United States Virgin Islands,Virgin Islands of the United States
SRB,srp,Србија,Република Србија
UMI,eng,United States Minor Outlying Islands,United States Minor Outlying Islands
CPV,por,Cabo Verde,República de Cabo Verde
KHM,khm,Kâmpŭchéa,ព្រះរាជាណាចក្រកម្ពុជា
ROU,ron,România,România
HUN,hun,Magyarország,Magyarország
MHL,eng,Marshall Islands,Republic of the Marshall Islands
MHL,mah,M̧ajeļ,Republic of the Marshall Islands
SOM,ara,الصومال‎‎,جمهورية الصومال‎‎
SOM,som,Soomaaliya,Jamhuuriyadda Federaalka Soomaaliya
ALB,sqi,Shqipëria,Republika e Shqipërisë
PYF,fra,Polynésie française,Polynésie française
BDI,fra,Burundi,République du Burundi
BDI,run,Uburundi,Republika y'Uburundi 
CAF,fra,République centrafricaine,République centrafricaine
CAF,sag,Bêafrîka,Ködörösêse tî Bêafrîka
GUF,fra,Guyane française,Guyane
ASM,eng,American Samoa,American Samoa
ASM,smo,Sāmoa Amelika,Sāmoa Amelika
LCA,eng,Saint Lucia,Saint Lucia
UGA,eng,Uganda,Republic of Uganda
UGA,swa,Uganda,Republic of Uganda
HND,spa,Honduras,República de Honduras
KAZ,kaz,Қазақстан,Қазақстан Республикасы
KAZ,rus,Казахстан,Республика Казахстан
KEN,eng,Kenya,Republic of Kenya
KEN,swa,Kenya,Republic of Kenya
WSM,eng,Samoa,Independent State of Samoa
WSM,smo,Sāmoa,Malo Saʻoloto Tutoʻatasi o Sāmoa
NPL,nep,नेपाल,नेपाल संघीय लोकतान्त्रिक गणतन्त्र
GNQ,fra,Guinée équatoriale,République de la Guinée Équatoriale
GNQ,por,Guiné Equatorial,República da Guiné Equatorial
GNQ,spa,Guinea Ecuatorial,República de Guinea Ecuatorial
LBN,ara,لبنان,الجمهورية اللبنانية
LBN,fra,Liban,République libanaise
MUS,eng,Mauritius,Republic of Mauritius
MUS,fra,Maurice,République de Maurice
MUS,mfe,Moris,Republik Moris
LIE,deu,Liechtenstein,Fürstentum Liechtenstein
CYM,eng,Cayman Islands,Cayman Islands
AIA,eng,Anguilla,Anguilla
GLP,fra,Guadeloupe,Guadeloupe
AUT,bar,Österreich,Republik Österreich
NLD,nld,Nederland,Koninkrijk der Nederlanden
SJM,nor,Svalbard og Jan Mayen,Svalbard og Jan Mayen
SGP,eng,Singapore,Republic of Singapore
SGP,zho,新加坡,新加坡共和国
SGP,msa,Singapura,Republik Singapura
SGP,tam,சிங்கப்பூர்,சிங்கப்பூர் குடியரசு
LBR,eng,Liberia,Republic of Liberia
